,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_learning_rate,param_max_depth,param_min_child_samples,param_n_estimators,param_num_leaves,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,mean_test_score,std_test_score,rank_test_score
172,29.711426496505737,0.09662934046381642,0.0288621187210083,0.005285190586585999,0.05,8,5,800,15,0.85,"{'learning_rate': 0.05, 'max_depth': 8, 'min_child_samples': 5, 'n_estimators': 800, 'num_leaves': 15, 'subsample': 0.85}",0.9873040191006766,0.9922425604822165,0.9964714114603177,0.992942805346933,0.9922401990975359,0.0032696594676732537,217
173,30.181054413318634,0.09452802907918569,0.026916086673736572,0.004906895294286001,0.05,8,5,800,15,1.0,"{'learning_rate': 0.05, 'max_depth': 8, 'min_child_samples': 5, 'n_estimators': 800, 'num_leaves': 15, 'subsample': 1.0}",0.9873040191006766,0.9922425604822165,0.9964714114603177,0.992942805346933,0.9922401990975359,0.0032696594676732537,217
174,52.58879792690277,3.0066623660689085,0.022991597652435303,0.0015891991399606612,0.05,8,5,800,31,0.7,"{'learning_rate': 0.05, 'max_depth': 8, 'min_child_samples': 5, 'n_estimators': 800, 'num_leaves': 31, 'subsample': 0.7}",0.9887154021232234,0.9922425604822165,0.9957656832081598,0.9915313664163197,0.9920637530574798,0.002511530830503399,283
175,50.80027222633362,0.4691127249262007,0.020180225372314453,0.00048121171254878034,0.05,8,5,800,31,0.85,"{'learning_rate': 0.05, 'max_depth': 8, 'min_child_samples': 5, 'n_estimators': 800, 'num_leaves': 31, 'subsample': 0.85}",0.9887154021232234,0.9922425604822165,0.9957656832081598,0.9915313664163197,0.9920637530574798,0.002511530830503399,283
176,54.15588039159775,5.361753599607385,0.023266315460205078,0.0012179563467072613,0.05,8,5,800,31,1.0,"{'learning_rate': 0.05, 'max_depth': 8, 'min_child_samples': 5, 'n_estimators': 800, 'num_leaves': 31, 'subsample': 1.0}",0.9887154021232234,0.9922425604822165,0.9957656832081598,0.9915313664163197,0.9920637530574798,0.002511530830503399,283
177,57.96820813417435,1.225551044901486,0.023233890533447266,0.0018637050321622566,0.05,8,5,800,45,0.7,"{'learning_rate': 0.05, 'max_depth': 8, 'min_child_samples': 5, 'n_estimators': 800, 'num_leaves': 45, 'subsample': 0.7}",0.9866003064691244,0.9922425604822165,0.9943542667718518,0.9915313664163197,0.9911821250348781,0.002841744070523344,418
178,76.92931944131851,23.50367557359078,0.022706687450408936,0.0008535169582568869,0.05,8,5,800,45,0.85,"{'learning_rate': 0.05, 'max_depth': 8, 'min_child_samples': 5, 'n_estimators': 800, 'num_leaves': 45, 'subsample': 0.85}",0.9866003064691244,0.9922425604822165,0.9943542667718518,0.9915313664163197,0.9911821250348781,0.002841744070523344,418
179,74.54791486263275,4.450562017438978,0.021282672882080078,0.0010821862771156427,0.05,8,5,800,45,1.0,"{'learning_rate': 0.05, 'max_depth': 8, 'min_child_samples': 5, 'n_estimators': 800, 'num_leaves': 45, 'subsample': 1.0}",0.9866003064691244,0.9922425604822165,0.9943542667718518,0.9915313664163197,0.9911821250348781,0.002841744070523344,418
180,23.847781896591187,2.7199459186999735,0.02166569232940674,0.0014637504786384062,0.05,8,5,900,15,0.7,"{'learning_rate': 0.05, 'max_depth': 8, 'min_child_samples': 5, 'n_estimators': 900, 'num_leaves': 15, 'subsample': 0.7}",0.9865989201341998,0.9922425604822165,0.9964714114603177,0.992942805346933,0.9920639243559167,0.0035389460429919597,250
181,32.522146821022034,9.33575528880542,0.02263885736465454,0.0016890850042269498,0.05,8,5,900,15,0.85,"{'learning_rate': 0.05, 'max_depth': 8, 'min_child_samples': 5, 'n_estimators': 900, 'num_leaves': 15, 'subsample': 0.85}",0.9865989201341998,0.9922425604822165,0.9964714114603177,0.992942805346933,0.9920639243559167,0.0035389460429919597,250
