,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_learning_rate,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,param_n_estimators,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,mean_test_score,std_test_score,rank_test_score
1096,6.013891220092773,0.6382377786616874,0.05024975538253784,0.0024875947325651454,0.1,9,sqrt,1,5,350,0.9,"{'learning_rate': 0.1, 'max_depth': 9, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 350, 'subsample': 0.9}",0.9866005197259626,0.9943581500461534,0.9936484394026853,0.9964714114603177,0.9927696301587798,0.0037100137956773273,165
1097,5.991572737693787,0.22979368701543704,0.046249449253082275,0.0022760629209073284,0.1,9,sqrt,1,5,350,1.0,"{'learning_rate': 0.1, 'max_depth': 9, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 350, 'subsample': 1.0}",0.9866005197259626,0.9943581500461534,0.9936483508273879,0.997177133385926,0.9929460384963575,0.003894068376048052,78
1098,6.31359201669693,0.4441426313359201,0.05575001239776611,0.0066091910642595095,0.1,9,sqrt,1,5,450,0.8,"{'learning_rate': 0.1, 'max_depth': 9, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 450, 'subsample': 0.8}",0.9844840792209213,0.9936529535251174,0.9929426647541637,0.997177133385926,0.992064207721532,0.004660905408876567,690
1099,6.847682058811188,0.23229363704712053,0.05375063419342041,0.00804370140736989,0.1,9,sqrt,1,5,450,0.9,"{'learning_rate': 0.1, 'max_depth': 9, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 450, 'subsample': 0.9}",0.9844846965672964,0.9943581500461534,0.9922368732334741,0.9978828510938604,0.9922406427351961,0.004911035215284044,528
1100,5.838349759578705,0.8443699759615422,0.05000025033950806,0.004581007971405025,0.1,9,sqrt,1,5,450,1.0,"{'learning_rate': 0.1, 'max_depth': 9, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 450, 'subsample': 1.0}",0.9866003064691244,0.9943581500461534,0.9936483508273879,0.997177133385926,0.9929459851821479,0.0038941552535177062,83
1101,6.558301508426666,0.6008122495447602,0.05461066961288452,0.0013127005162882122,0.1,9,sqrt,1,5,650,0.8,"{'learning_rate': 0.1, 'max_depth': 9, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 650, 'subsample': 0.8}",0.9837789956545375,0.9936528777649296,0.9922368732334741,0.9964714114603177,0.9915350395283147,0.004730269383692366,985
1102,6.622165203094482,0.5959079360939964,0.05604428052902222,0.009272028994647331,0.1,9,sqrt,1,5,650,0.9,"{'learning_rate': 0.1, 'max_depth': 9, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 650, 'subsample': 0.9}",0.9866003064691244,0.9943581500461534,0.9950598973131997,0.9964714114603177,0.9931224413221988,0.0038416974046384072,28
1103,6.652474761009216,0.17955257263899374,0.049750447273254395,0.004148284200640941,0.1,9,sqrt,1,5,650,1.0,"{'learning_rate': 0.1, 'max_depth': 9, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 650, 'subsample': 1.0}",0.9858951786975421,0.9943581500461534,0.9936485026692425,0.997177133385926,0.9927697411997161,0.00418270187388264,142
1104,2.788691222667694,0.22012360620555776,0.02450019121170044,0.0005014650208035039,0.1,9,sqrt,1,10,150,0.8,"{'learning_rate': 0.1, 'max_depth': 9, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 150, 'subsample': 0.8}",0.985189812413243,0.9950634082973135,0.9922368732334741,0.9964714114603177,0.9922403763510872,0.004346884849476056,605
1105,2.848705768585205,0.24606662181652028,0.02874976396560669,0.0008285038141034541,0.1,9,sqrt,1,10,150,0.9,"{'learning_rate': 0.1, 'max_depth': 9, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 150, 'subsample': 0.9}",0.9858951786975421,0.9943581500461534,0.9936483508273879,0.997177133385926,0.9927697032392524,0.00418269389911797,149
1106,2.6729401350021362,0.13696891339826028,0.025125086307525635,0.0013391641394812218,0.1,9,sqrt,1,10,150,1.0,"{'learning_rate': 0.1, 'max_depth': 9, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 150, 'subsample': 1.0}",0.9844846965672964,0.9943581500461534,0.9929425522759148,0.997177133385926,0.9922406330688227,0.004730226081252261,534
1107,5.496233403682709,0.5218672016455975,0.05425059795379639,0.003698975957003499,0.1,9,sqrt,1,10,350,0.8,"{'learning_rate': 0.1, 'max_depth': 9, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 350, 'subsample': 0.8}",0.9858949261522791,0.992242282692651,0.9922368732334741,0.9964714114603177,0.9917113733846805,0.0037764744032363438,917
1108,5.7592896819114685,0.3530050338309759,0.05025005340576172,0.0017862469275507688,0.1,9,sqrt,1,10,350,0.9,"{'learning_rate': 0.1, 'max_depth': 9, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 350, 'subsample': 0.9}",0.9844840792209213,0.9943581500461534,0.9922368732334741,0.997177133385926,0.9920640589716188,0.004714136761237055,728
