,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_bootstrap,param_ccp_alpha,param_criterion,param_max_depth,param_max_features,param_max_leaf_nodes,param_max_samples,param_min_impurity_decrease,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,mean_test_score,std_test_score,rank_test_score
40,2.4044376015663147,0.1982935391692358,0.14317232370376587,0.012665799911884178,True,0.005,gini,10,sqrt,100,0.7,0.01,2,8,500,"{'bootstrap': True, 'ccp_alpha': 0.005, 'criterion': 'gini', 'max_depth': 10, 'max_features': 'sqrt', 'max_leaf_nodes': 100, 'max_samples': 0.7, 'min_impurity_decrease': 0.01, 'min_samples_leaf': 2, 'min_samples_split': 8, 'n_estimators': 500}",0.9294375706619532,0.9520264286496115,0.9484596079001928,0.9717689717689718,0.9504231447451823,0.015020524684178582,60
41,2.1728756427764893,0.11837567380507334,0.13040810823440552,0.010019147879652404,True,0.005,gini,10,sqrt,100,0.7,0.01,2,8,450,"{'bootstrap': True, 'ccp_alpha': 0.005, 'criterion': 'gini', 'max_depth': 10, 'max_features': 'sqrt', 'max_leaf_nodes': 100, 'max_samples': 0.7, 'min_impurity_decrease': 0.01, 'min_samples_leaf': 2, 'min_samples_split': 8, 'n_estimators': 450}",0.9449890081469029,0.9633279752999968,0.9235685204348677,0.968941661253492,0.9502067912838148,0.017748123544849257,64
42,3.529668152332306,0.2058635000192053,0.1955665946006775,0.018715826083397502,True,0.005,gini,10,sqrt,100,0.7,0.01,5,4,700,"{'bootstrap': True, 'ccp_alpha': 0.005, 'criterion': 'gini', 'max_depth': 10, 'max_features': 'sqrt', 'max_leaf_nodes': 100, 'max_samples': 0.7, 'min_impurity_decrease': 0.01, 'min_samples_leaf': 5, 'min_samples_split': 4, 'n_estimators': 700}",0.9329679270116215,0.9696752223977831,0.9477332360353463,0.9724691664927194,0.9557113879843676,0.016253674489179096,32
43,2.472852051258087,0.152167842205523,0.16729527711868286,0.012373485594591317,True,0.005,gini,10,sqrt,100,0.7,0.01,5,4,500,"{'bootstrap': True, 'ccp_alpha': 0.005, 'criterion': 'gini', 'max_depth': 10, 'max_features': 'sqrt', 'max_leaf_nodes': 100, 'max_samples': 0.7, 'min_impurity_decrease': 0.01, 'min_samples_leaf': 5, 'min_samples_split': 4, 'n_estimators': 500}",0.9449820029010249,0.9675598790483011,0.9186084901301775,0.9689372048067917,0.9500218942215739,0.020479089014468325,67
44,2.15551620721817,0.06039484364696312,0.1186632513999939,0.01074098721925216,True,0.005,gini,10,sqrt,100,0.7,0.01,5,4,450,"{'bootstrap': True, 'ccp_alpha': 0.005, 'criterion': 'gini', 'max_depth': 10, 'max_features': 'sqrt', 'max_leaf_nodes': 100, 'max_samples': 0.7, 'min_impurity_decrease': 0.01, 'min_samples_leaf': 5, 'min_samples_split': 4, 'n_estimators': 450}",0.9315420094435456,0.9682650201545222,0.9300085965646671,0.9710628069132083,0.9502196082689858,0.01947699612258891,63
45,3.418446123600006,0.06487124597997478,0.19618088006973267,0.023861925772998137,True,0.005,gini,10,sqrt,100,0.7,0.01,5,8,700,"{'bootstrap': True, 'ccp_alpha': 0.005, 'criterion': 'gini', 'max_depth': 10, 'max_features': 'sqrt', 'max_leaf_nodes': 100, 'max_samples': 0.7, 'min_impurity_decrease': 0.01, 'min_samples_leaf': 5, 'min_samples_split': 8, 'n_estimators': 700}",0.9322600678354751,0.9647373153806977,0.9314225643108354,0.9717689717689718,0.950047229823995,0.018377254853965106,66
46,2.4192453622817993,0.105302941769946,0.1253020167350769,0.002358256277597052,True,0.005,gini,10,sqrt,100,0.7,0.01,5,8,500,"{'bootstrap': True, 'ccp_alpha': 0.005, 'criterion': 'gini', 'max_depth': 10, 'max_features': 'sqrt', 'max_leaf_nodes': 100, 'max_samples': 0.7, 'min_impurity_decrease': 0.01, 'min_samples_leaf': 5, 'min_samples_split': 8, 'n_estimators': 500}",0.9308335374023704,0.9668547084804819,0.9647127613795741,0.9689428989284333,0.9578359765477149,0.015661442620877368,27
47,2.255728006362915,0.11046321341071295,0.12202960252761841,0.004608922797111417,True,0.005,gini,10,sqrt,100,0.7,0.01,5,8,450,"{'bootstrap': True, 'ccp_alpha': 0.005, 'criterion': 'gini', 'max_depth': 10, 'max_features': 'sqrt', 'max_leaf_nodes': 100, 'max_samples': 0.7, 'min_impurity_decrease': 0.01, 'min_samples_leaf': 5, 'min_samples_split': 8, 'n_estimators': 450}",0.9315610845656925,0.9597991599334512,0.9661242509243911,0.9703565935335793,0.9569602722392786,0.015137849478868372,28
48,3.421873450279236,0.13662959554577023,0.2140161395072937,0.02437440993151708,True,0.005,gini,30,sqrt,50,0.7,0.01,2,4,700,"{'bootstrap': True, 'ccp_alpha': 0.005, 'criterion': 'gini', 'max_depth': 30, 'max_features': 'sqrt', 'max_leaf_nodes': 50, 'max_samples': 0.7, 'min_impurity_decrease': 0.01, 'min_samples_leaf': 2, 'min_samples_split': 4, 'n_estimators': 700}",0.9350825650089969,0.9696754637032101,0.9335395036743427,0.9710598663305254,0.9523393496792688,0.018043208002640077,50
49,2.454620897769928,0.07296284387648604,0.13739705085754395,0.013373219677166242,True,0.005,gini,30,sqrt,50,0.7,0.01,2,4,500,"{'bootstrap': True, 'ccp_alpha': 0.005, 'criterion': 'gini', 'max_depth': 30, 'max_features': 'sqrt', 'max_leaf_nodes': 50, 'max_samples': 0.7, 'min_impurity_decrease': 0.01, 'min_samples_leaf': 2, 'min_samples_split': 4, 'n_estimators': 500}",0.954160767047475,0.9633268079959256,0.9186206841445796,0.9689440127515441,0.951263067984881,0.01957084255679092,54
50,2.2281068563461304,0.052533644774273754,0.1307632327079773,0.01392107933021231,True,0.005,gini,30,sqrt,50,0.7,0.01,2,4,450,"{'bootstrap': True, 'ccp_alpha': 0.005, 'criterion': 'gini', 'max_depth': 30, 'max_features': 'sqrt', 'max_leaf_nodes': 50, 'max_samples': 0.7, 'min_impurity_decrease': 0.01, 'min_samples_leaf': 2, 'min_samples_split': 4, 'n_estimators': 450}",0.9322645170921033,0.9626219075191369,0.9512741248474403,0.9710628069132083,0.9543058390929722,0.01453413337121988,42
51,3.2756964564323425,0.055295427554095326,0.20000046491622925,0.025661332114780305,True,0.005,gini,30,sqrt,50,0.7,0.01,2,8,700,"{'bootstrap': True, 'ccp_alpha': 0.005, 'criterion': 'gini', 'max_depth': 30, 'max_features': 'sqrt', 'max_leaf_nodes': 50, 'max_samples': 0.7, 'min_impurity_decrease': 0.01, 'min_samples_leaf': 2, 'min_samples_split': 8, 'n_estimators': 700}",0.9548637636872931,0.9633274646136094,0.9470442705413666,0.9717689717689718,0.9592511176528102,0.009240796332557302,19
52,2.3534998297691345,0.08365978268335211,0.14400118589401245,0.01301798919119656,True,0.005,gini,30,sqrt,50,0.7,0.01,2,8,500,"{'bootstrap': True, 'ccp_alpha': 0.005, 'criterion': 'gini', 'max_depth': 30, 'max_features': 'sqrt', 'max_leaf_nodes': 50, 'max_samples': 0.7, 'min_impurity_decrease': 0.01, 'min_samples_leaf': 2, 'min_samples_split': 8, 'n_estimators': 500}",0.9251872955576659,0.9640336895084585,0.9647133237708184,0.9717689717689718,0.9564258201514787,0.018288111662696827,30
