,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_learning_rate,param_max_depth,param_n_estimators,param_reg_alpha,param_reg_lambda,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,mean_test_score,std_test_score,rank_test_score
10,5.76048481464386,1.8154749898297629,0.059392571449279785,0.018782955864647486,0.05,4,750,0.5,2.0,0.7,"{'learning_rate': 0.05, 'max_depth': 4, 'n_estimators': 750, 'reg_alpha': 0.5, 'reg_lambda': 2.0, 'subsample': 0.7}",0.987305837603845,0.9950634475795923,0.997177133385926,0.9908253956395601,0.9925929535522309,0.003814311914133598,7
11,5.951007127761841,1.3099393070251384,0.05176568031311035,0.019048919751229774,0.05,4,750,0.5,2.0,1.0,"{'learning_rate': 0.05, 'max_depth': 4, 'n_estimators': 750, 'reg_alpha': 0.5, 'reg_lambda': 2.0, 'subsample': 1.0}",0.987305837603845,0.9929478138222849,0.9950599760444447,0.9901195731862809,0.9913583001642139,0.002923433568619589,118
12,8.1192906498909,1.6961178135040824,0.05651634931564331,0.01564033444078015,0.05,4,750,1.0,1.0,0.7,"{'learning_rate': 0.05, 'max_depth': 4, 'n_estimators': 750, 'reg_alpha': 1.0, 'reg_lambda': 1.0, 'subsample': 0.7}",0.987305837603845,0.9943582061641969,0.997177133385926,0.988002225333439,0.9917108506218517,0.004184697714383432,97
13,4.686062276363373,1.4085236631733078,0.038392722606658936,0.018660227808115545,0.05,4,750,1.0,1.0,1.0,"{'learning_rate': 0.05, 'max_depth': 4, 'n_estimators': 750, 'reg_alpha': 1.0, 'reg_lambda': 1.0, 'subsample': 1.0}",0.9873059638694429,0.9929478138222849,0.9957657000788889,0.988002225333439,0.9910054257760139,0.003504936306745121,131
14,6.9020625948905945,1.6165706801856454,0.05889350175857544,0.026472215134043436,0.05,4,750,1.0,1.5,0.7,"{'learning_rate': 0.05, 'max_depth': 4, 'n_estimators': 750, 'reg_alpha': 1.0, 'reg_lambda': 1.5, 'subsample': 0.7}",0.987305837603845,0.9943582061641969,0.9964714114603177,0.9894139180456464,0.9918873433185016,0.003681944836797544,80
15,5.443502962589264,1.4336953748835457,0.031012356281280518,0.008419302744769389,0.05,4,750,1.0,1.5,1.0,"{'learning_rate': 0.05, 'max_depth': 4, 'n_estimators': 750, 'reg_alpha': 1.0, 'reg_lambda': 1.5, 'subsample': 1.0}",0.9844849126269217,0.9929478138222849,0.9964714114603177,0.9872963410115112,0.9903001197302589,0.004688668410869613,141
16,6.423787593841553,0.34869168015659,0.03424888849258423,0.003489584203473593,0.05,4,750,1.0,2.0,0.7,"{'learning_rate': 0.05, 'max_depth': 4, 'n_estimators': 750, 'reg_alpha': 1.0, 'reg_lambda': 2.0, 'subsample': 0.7}",0.9880111344363328,0.9943582061641969,0.9957656832081598,0.988002225333439,0.9915343122855321,0.0035625586632733208,115
17,4.346124470233917,0.25450978419114373,0.029129624366760254,0.006481290810788127,0.05,4,750,1.0,2.0,1.0,"{'learning_rate': 0.05, 'max_depth': 4, 'n_estimators': 750, 'reg_alpha': 1.0, 'reg_lambda': 2.0, 'subsample': 1.0}",0.9844849126269217,0.9936530292834966,0.9943542667718518,0.9872963410115112,0.9899471374234453,0.004183869169717794,143
18,6.586065888404846,1.030861989754649,0.05214226245880127,0.01067168782969215,0.05,4,900,0.1,1.0,0.7,"{'learning_rate': 0.05, 'max_depth': 4, 'n_estimators': 900, 'reg_alpha': 0.1, 'reg_lambda': 1.0, 'subsample': 0.7}",0.9866005197259626,0.9957686798758654,0.9971771221387733,0.9901195731862809,0.9924164737317205,0.004272064266872307,16
19,5.104559659957886,0.1289084249392341,0.04000049829483032,0.002914406034241694,0.05,4,900,0.1,1.0,1.0,"{'learning_rate': 0.05, 'max_depth': 4, 'n_estimators': 900, 'reg_alpha': 0.1, 'reg_lambda': 1.0, 'subsample': 1.0}",0.9866005197259626,0.9936530292834966,0.9964714114603177,0.9901198487546965,0.9917112023061183,0.003710854543178951,87
